epoch,train_loss,val_loss,train_metric,val_metric,lr
0,0.44389868375300023,0.3981474418640137,0.07927567739875949,0.09716228032112122,0.001
1,0.24655924669476975,0.3123836278915405,0.15410410511751277,0.17927970981597902,0.001
2,0.17332073281399485,0.24080471694469452,0.21533584871402786,0.39992542362213135,0.001
3,0.13258824129255356,0.22079575276374816,0.29783916406604755,0.4685827856063843,0.001
4,0.11158571586984785,0.18321127474308013,0.3412020234596066,0.4658337163925171,0.001
5,0.09939042723574797,0.12945910900831223,0.37730381306575367,0.5179284448623658,0.001
6,0.09137993796962221,0.17456188023090363,0.4024323903414763,0.47135453653335574,0.001
7,0.08931672917146022,0.1247714837193489,0.4268453782107554,0.5824380602836609,0.001
8,0.12053086082426821,0.20674682700634003,0.31670579983263597,0.4953919677734375,0.001
9,0.09035558589533263,0.14361526834964752,0.40656155026426505,0.5465801963806153,0.001
10,0.08345836520988066,0.17848864078521728,0.45226100560616095,0.5092783546447754,0.001
11,0.07684890731495349,0.12762189775705338,0.4559173037429579,0.5663027744293213,0.001
12,0.07741847568873216,0.11205409777164459,0.4626233834846347,0.6233343081474304,0.001
13,0.07435922118342843,0.12026586747169495,0.47887631832193783,0.6122355818748474,0.001
14,0.07358025741719064,0.11359945148229598,0.48053858027595575,0.6116123433113099,0.001
15,0.0723219510002368,0.10258144122362137,0.497026386238089,0.6610549788475036,0.001
16,0.07181155742580245,0.10570180439949035,0.5034938617771556,0.6062739510536194,0.001
17,0.06936306991324086,0.11206041860580444,0.49533428693590476,0.6224842109680175,0.001
18,0.0665681270264587,0.15471572458744048,0.5191355761216612,0.580664014339447,0.001
19,0.06665496217335115,0.09817091065645218,0.5140166992948455,0.6607193322181701,0.001
20,0.06604921957161151,0.1431773521900177,0.5211839170730701,0.5790682158470154,0.001
21,0.06548582069745727,0.18949572145938873,0.5272558477698636,0.5260088605880737,0.001
22,0.06362248667362644,0.12130631548166275,0.5196737551770243,0.6070391540527343,0.001
23,0.06895354903247558,0.10937310355901718,0.5017503425210607,0.5992572631835937,0.001
24,0.06620019750625622,0.09840376496315002,0.5200174079508054,0.6524093070030212,0.001
25,0.06582407831770032,0.09971682119369507,0.5297760421536168,0.6175158333778381,0.001
26,0.06496657388044053,0.09590861785411835,0.5242010496911549,0.6331569213867188,0.001
27,0.06368251806166039,0.1150183909535408,0.5252110266408809,0.594277545452118,0.001
28,0.06555411478682678,0.08829246884584427,0.5163466744467753,0.6517825665473937,0.001
29,0.06134141156045186,0.09893241333961487,0.538044226389019,0.627293933391571,0.001
30,0.06385122410425333,0.08840978848934174,0.547342494708531,0.6627065825462342,0.001
31,0.06365760967654198,0.10005518049001694,0.5441334067749567,0.6130390119552612,0.001
32,0.062129798097436836,0.0938196946978569,0.5339165406973183,0.6523349814414978,0.001
33,0.06233564633376697,0.12457824444770813,0.5547461184252258,0.5843030786514283,0.001
34,0.06477447268830723,0.10607145154476166,0.534783613781969,0.6080834307670593,0.001
35,0.060986573255958916,0.10313372629880906,0.5359897524798188,0.6729096932411194,0.001
36,0.061825829426519104,0.09857766640186309,0.5560040979110608,0.632721321105957,0.001
37,0.06033887173764321,0.09268670564889908,0.5478933001575874,0.668347900390625,0.001
38,0.059006301345539934,0.09257049971818924,0.5459602532648191,0.6370451745986938,0.001
39,0.062401458000888727,0.09664206844568253,0.5356662625453624,0.6547013626098633,0.001
40,0.06268001590766349,0.10551595371961593,0.5377856336441599,0.6177991676330566,0.001
41,0.06052315669680605,0.09966588914394378,0.5390555564285804,0.6502397098541259,0.001
42,0.05957759205861633,0.11630207413434983,0.5622251746462745,0.6061225852966309,0.001
43,0.05900593496718946,0.09133306491374969,0.5627439303033683,0.6556071043014526,0.001
44,0.06013128603575658,0.09292309218645096,0.5623840612619102,0.6659297046661377,0.001
45,0.058717001666303344,0.09577085155248642,0.5577943182172848,0.6346741561889648,0.001
46,0.0614295879862651,0.08550052380561829,0.5568087549388957,0.6692050609588623,0.001
47,0.060318950046392,0.1262700173854828,0.5480476497363548,0.5766522679328918,0.001
48,0.058614895426008215,0.09119598495960235,0.55524125131143,0.6742014899253845,0.001
49,0.06101149920390553,0.08610224390029907,0.541134661796237,0.6707060165405273,0.001
50,0.05810361081848339,0.08300374466180802,0.5563920883237481,0.725912477016449,0.001
51,0.05971746468672804,0.09964713537693023,0.5592958707244647,0.6146170697212219,0.001
52,0.06147819133449335,0.10183295029401779,0.5486815041329871,0.606076081752777,0.001
53,0.056996411521311234,0.09754974853992462,0.5686637577818794,0.6310371427536011,0.001
54,0.05888733105296467,0.09092449080944061,0.5635636878662369,0.6735818452835083,0.001
55,0.05891749212572745,0.09644341659545898,0.5581865121050328,0.6783227968215942,0.001
56,0.05712990038970462,0.08030170395970344,0.5659765844442406,0.7249595732688904,0.001
57,0.05813394146425431,0.11022008198499679,0.5691316580863879,0.6162174353599549,0.001
58,0.06206479355045894,0.13064066237211228,0.5444314434033196,0.6522363376617432,0.001
59,0.05844749255823631,0.08278092008829117,0.5664312176916207,0.7082033853530884,0.001
60,0.0573859825184723,0.08292373299598693,0.5680432196567897,0.7176492800712585,0.001
61,0.05678574012673679,0.08841118425130844,0.5599037787588943,0.7025043120384217,0.001
62,0.057497010311755054,0.09783263194561005,0.5604701811382894,0.6585629057884216,0.001
63,0.057453402108242624,0.12008364188671113,0.5711932445631451,0.6376090707778931,0.001
64,0.057692017376410956,0.10907538038492202,0.5598669026125999,0.6102745604515075,0.001
65,0.0586485322587201,0.0947707109451294,0.561828090482447,0.650562557220459,0.001
66,0.06031686915796535,0.10106247353553773,0.5630627183639416,0.6984244747161865,0.001
67,0.06006845109173659,0.1146604670882225,0.5434585988831644,0.6716503872871399,0.001
68,0.05927880498028698,0.08660441142320632,0.5625117720962286,0.6899181470870972,0.001
69,0.05860863010488113,0.09513365483283996,0.5570897506017025,0.662882029056549,0.001
70,0.05847862634171291,0.09213470792770385,0.5600878986514726,0.6482117853164673,0.001
71,0.05785888944919847,0.09260283482074738,0.553360270184963,0.6715696301460267,0.001
72,0.0569294877544123,0.09749438714981079,0.564600287102947,0.6486034007072449,0.001
73,0.05856075227445438,0.09140469187498093,0.5524951266545971,0.6585170874595642,0.001
74,0.057091847847716336,0.08285596555471421,0.566771462160189,0.7087324323654175,0.001
75,0.05714096622068246,0.08498416256904602,0.5674086947019409,0.7147941975593567,0.001
76,0.05721288829782501,0.08098694789409637,0.5692858603559717,0.7228304090499877,0.001
77,0.05842951964847848,0.09595680755376816,0.5752122858229901,0.6528900160789489,0.001
78,0.05778668884064208,0.09879180365800858,0.5589622474756657,0.6625833029747009,0.001
79,0.057653457726858384,0.09795732647180558,0.5674886729727749,0.6436254281997681,0.001
80,0.056918864487623774,0.0891381339430809,0.5647283470978877,0.6746491575241089,0.001
81,0.055628508876482935,0.08341467159986496,0.571053478802715,0.7003779869079589,0.001
82,0.055400409455857974,0.0791322448849678,0.571672614370169,0.7231897234916687,0.001
83,0.057059606467904735,0.09230944001674653,0.5741979145750898,0.6730654501914978,0.001
84,0.05862585192217546,0.08691562885046006,0.5624124839717076,0.6901139507293701,0.001
85,0.057727450545893615,0.0776568078994751,0.5714674327506118,0.7142203540802002,0.001
86,0.055050728640624554,0.08351354879140854,0.5722531747131073,0.7157465558052063,0.001
87,0.056920918895035276,0.09913519090414047,0.5774332179981215,0.6642390151023865,0.001
